"Year","GEO","Industry","VA_EXP","GDP"
2013,"Newfoundland and Labrador","Professional, scientific and technical services [BS540]",45710,34491
2013,"Newfoundland and Labrador","Administrative and support, waste management and remediation services [BS560]",36222,34491
2013,"Newfoundland and Labrador","Educational services [BS610]",2266,34491
2013,"Newfoundland and Labrador","Health care and social assistance [BS620]",5,34491
2013,"Newfoundland and Labrador","Arts, entertainment and recreation [BS710]",6474,34491
2013,"Newfoundland and Labrador","Accommodation and food services [BS720]",67681,34491
2013,"Newfoundland and Labrador","Other services (except public administration) [BS810]",814,34491
2013,"Newfoundland and Labrador","Non-profit institutions serving households [NP000]",1791,34491
2013,"Newfoundland and Labrador","Government education services [GS610]",12015,34491
2013,"Newfoundland and Labrador","Government health services [GS620]",4998,34491
2013,"Newfoundland and Labrador","Other federal government services [GS911]",7082,34491
2013,"Newfoundland and Labrador","Other provincial and territorial government services [GS912]",10026,34491
2013,"Newfoundland and Labrador","Other municipal government services [GS913]",1556,34491
2013,"Northwest Territories","Total industries",1372136,4484
2013,"Northwest Territories","Crop and animal production [BS11A]",1,4484
2013,"Northwest Territories","Fishing, hunting and trapping [BS114]",526,4484
2013,"Northwest Territories","Mining, quarrying, and oil and gas extraction [BS210]",1257180,4484
2013,"Northwest Territories","Utilities [BS220]",214,4484
2013,"Northwest Territories","Other activities of the construction industry [BS23E]",2894,4484
2013,"Northwest Territories","Manufacturing [BS3A0]",3858,4484
2013,"Northwest Territories","Wholesale trade [BS410]",24221,4484
2013,"Northwest Territories","Retail trade [BS4A0]",252,4484
2013,"Northwest Territories","Transportation and warehousing [BS4B0]",16233,4484
2013,"Northwest Territories","Information and cultural industries [BS510]",4322,4484
2013,"Northwest Territories","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",10937,4484
2013,"Northwest Territories","Professional, scientific and technical services [BS540]",10976,4484
2013,"Northwest Territories","Administrative and support, waste management and remediation services [BS560]",15150,4484
2013,"Northwest Territories","Health care and social assistance [BS620]",3,4484
2013,"Northwest Territories","Arts, entertainment and recreation [BS710]",3344,4484
2013,"Northwest Territories","Accommodation and food services [BS720]",8290,4484
2013,"Northwest Territories","Other services (except public administration) [BS810]",51,4484
2013,"Northwest Territories","Non-profit institutions serving households [NP000]",353,4484
2013,"Northwest Territories","Government education services [GS610]",2000,4484
2013,"Northwest Territories","Government health services [GS620]",3206,4484
2013,"Northwest Territories","Other federal government services [GS911]",1672,4484
2013,"Northwest Territories","Other provincial and territorial government services [GS912]",5778,4484
2013,"Northwest Territories","Other municipal government services [GS913]",679,4484
2013,"Nova Scotia","Total industries",4181683,38725
2013,"Nova Scotia","Crop and animal production [BS11A]",144699,38725
2013,"Nova Scotia","Forestry and logging [BS113]",655,38725
2013,"Nova Scotia","Fishing, hunting and trapping [BS114]",235493,38725
2013,"Nova Scotia","Support activities for agriculture and forestry [BS115]",54,38725
2013,"Nova Scotia","Mining, quarrying, and oil and gas extraction [BS210]",129505,38725
2013,"Nova Scotia","Utilities [BS220]",1070,38725
2013,"Nova Scotia","Other activities of the construction industry [BS23E]",8762,38725
2013,"Nova Scotia","Manufacturing [BS3A0]",2130325,38725
2013,"Nova Scotia","Wholesale trade [BS410]",271058,38725
2013,"Nova Scotia","Retail trade [BS4A0]",4965,38725
2013,"Nova Scotia","Transportation and warehousing [BS4B0]",383105,38725
2013,"Nova Scotia","Information and cultural industries [BS510]",87992,38725
2013,"Nova Scotia","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",170330,38725
2013,"Nova Scotia","Professional, scientific and technical services [BS540]",173866,38725
2013,"Nova Scotia","Administrative and support, waste management and remediation services [BS560]",97965,38725
2013,"Nova Scotia","Educational services [BS610]",26111,38725
2013,"Nova Scotia","Health care and social assistance [BS620]",7,38725
2013,"Nova Scotia","Arts, entertainment and recreation [BS710]",27676,38725
2013,"Nova Scotia","Accommodation and food services [BS720]",147380,38725
2013,"Nova Scotia","Other services (except public administration) [BS810]",1738,38725
2013,"Nova Scotia","Non-profit institutions serving households [NP000]",4982,38725
2013,"Nova Scotia","Government education services [GS610]",56907,38725
2013,"Nova Scotia","Government health services [GS620]",19954,38725
2013,"Nova Scotia","Other federal government services [GS911]",23901,38725
2013,"Nova Scotia","Other provincial and territorial government services [GS912]",23406,38725
2013,"Nova Scotia","Other municipal government services [GS913]",9777,38725
2013,"Nunavut","Total industries",20978,2295
2013,"Nunavut","Fishing, hunting and trapping [BS114]",1531,2295
2013,"Nunavut","Mining, quarrying, and oil and gas extraction [BS210]",0,2295
2013,"Nunavut","Utilities [BS220]",0,2295
2013,"Nunavut","Other activities of the construction industry [BS23E]",41,2295
2013,"Nunavut","Manufacturing [BS3A0]",302,2295
2013,"Nunavut","Wholesale trade [BS410]",25,2295
2013,"Nunavut","Retail trade [BS4A0]",294,2295
2013,"Nunavut","Transportation and warehousing [BS4B0]",2212,2295
2013,"Nunavut","Information and cultural industries [BS510]",2732,2295
2013,"Nunavut","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",1153,2295
2013,"Nunavut","Professional, scientific and technical services [BS540]",639,2295
2013,"Nunavut","Administrative and support, waste management and remediation services [BS560]",6176,2295
2013,"Nunavut","Health care and social assistance [BS620]",1,2295
2013,"Nunavut","Arts, entertainment and recreation [BS710]",576,2295
2013,"Nunavut","Accommodation and food services [BS720]",3369,2295
2013,"Nunavut","Other services (except public administration) [BS810]",36,2295
2013,"Nunavut","Non-profit institutions serving households [NP000]",206,2295
2013,"Nunavut","Government education services [GS610]",230,2295
2013,"Nunavut","Other federal government services [GS911]",74,2295
2013,"Nunavut","Other provincial and territorial government services [GS912]",264,2295
2013,"Nunavut","Other municipal government services [GS913]",1117,2295
2013,"Ontario","Total industries",130081199,696192
2013,"Ontario","Crop and animal production [BS11A]",2380790,696192
2013,"Ontario","Forestry and logging [BS113]",8904,696192
2013,"Ontario","Fishing, hunting and trapping [BS114]",15330,696192
2013,"Ontario","Support activities for agriculture and forestry [BS115]",3679,696192
2013,"Ontario","Mining, quarrying, and oil and gas extraction [BS210]",1239293,696192
2013,"Ontario","Utilities [BS220]",458747,696192
2013,"Ontario","Other activities of the construction industry [BS23E]",185066,696192
2013,"Ontario","Manufacturing [BS3A0]",78843395,696192
2013,"Ontario","Wholesale trade [BS410]",11165054,696192
2013,"Ontario","Retail trade [BS4A0]",168668,696192
2013,"Ontario","Transportation and warehousing [BS4B0]",6548916,696192
2013,"Ontario","Information and cultural industries [BS510]",2350428,696192
2013,"Ontario","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",7025056,696192
